FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkE;IsoCode Country + Technology (E);;;;;;FL00000E
kkE-yyyy;Name of the plant;;;;;;FL00000E
kkE-yyyy-0A;Common Energy Collecting & Delivery Syst;;;;;;FL00000E
kkE-yyyy-00;Common Infrastructures and services;;;;;;FL00000E
kkE-yyyy-00-VC;Buildings, Areas and Roads;0000;51;5110;;FL_INFRAST;FL00000E
kkE-yyyy-00-VC-BU;Buildings;0000;51;5110;;FL_INFRAST;FL00000E
kkE-yyyy-00-VC-FE;Fences and gates;0000;51;5110;;FL_INFRAST;FL00000E
kkE-yyyy-00-VC-GA;Green areas;0000;51;5111;;FL_INFRAST;FL00000E
kkE-yyyy-00-VC-RO;Internal roads;0000;51;5110;;FL_INFRAST;FL00000E
kkE-yyyy-00-IL;Overhead lighting;0000;51;5150;;FL_INFRAST;FL00000E
kkE-yyyy-00-IL-LU;Luminaries;0000;51;5150;;FL_INFRAST;FL00000E
kkE-yyyy-00-IL-LS;Lamps;0000;51;5150;;FL_INFRAST;FL00000E
kkE-yyyy-00-IL-PL;Poles;0000;51;5150;;FL_INFRAST;FL00000E
kkE-yyyy-00-IL-CL;LV cables;0000;51;5150;;FL_INFRAST;FL00000E
kkE-yyyy-00-IT;Communications System;0000;51;5150;;FL_AUT&CON;FL00000E
kkE-yyyy-00-SS;Plant Security System;0000;51;5150;;FL_SECSYST;FL00000E
kkE-yyyy-00-SS-VS;Videosurveillance system;0000;51;5150;;FL_SECSYST;FL00000E
kkE-yyyy-00-SS-IR;Anti intrusion system;0000;51;5150;;FL_SECSYST;FL00000E
kkE-yyyy-00-IC;Internal Communications ;0000;51;5150;;FL_OTHER;FL00000E
kkE-yyyy-00-TC;SCADA System;0000;51;5180;;FL_AUT&CON;FL00000E
kkE-yyyy-00-TC-LN;Internal LAN;0000;51;5180;;FL_AUT&CON;FL00000E
kkE-yyyy-00-TC-AP;Scada Devices;0000;51;5180;;FL_AUT&CON;FL00000E
kkE-yyyy-00-TC-SM;Permanent Met Towers;0000;51;5180;;FL_AUT&CON;FL00000E
kkE-yyyy-00-TC-HI;Human machine interface;0000;51;5180;;FL_AUT&CON;FL00000E
kkE-yyyy-00-GG;Grounding grid;0000;51;5150;;FL_SAFSYST;FL00000E
kkE-yyyy-00-AS;Anti rodent system;0000;51;5150;;FL_SAFSYST;FL00000E
kkE-yyyy-00-CL;Underground Cables and Overhead Pwr Line;0000;51;5150;;FL_OTHER;FL00000E
kkE-yyyy-00-CL-MC;MV cables;0000;51;5140;;FL_POWLINE;FL00000E
kkE-yyyy-00-CL-JC;MV junctions and connections;0000;51;5140;;FL_POWLINE;FL00000E
kkE-yyyy-00-CL-CT;Cable trays;0000;51;5140;;FL_POWLINE;FL00000E
kkE-yyyy-00-OC;Civil Works;0000;51;5110;;FL_INFRAST;FL00000E
kkE-yyyy-00-OC-FO;Foundations;0000;51;5110;;FL_INFRAST;FL00000E
kkE-yyyy-00-OC-MR;Dirt Work;0000;51;5110;;FL_INFRAST;FL00000E
