FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkR;IsoCode Country + Technology (G);;;;;;
kkR-yyyy;Plant code;;;;;;
kkR-yyyy-yy;Plant name;;;;;;FL00000R
kkR-yyyy-yy-32;RETE DI TERRA;1360;13;1330;ALG;FL_SAFSYST;FL00000R
kkR-yyyy-yy-32-RV0;RETE DI TERRA;1360;13;1330;ALG;FL_SAFSYST;FL00000R
kkR-yyyy-yy-57;EDIFICI E INFRASTRUTTURE;1300;13;1310;ALG;FL_INFRAST;FL00000R
kkR-yyyy-yy-57-C1n;CARRO PONTE;1300;13;1310;ALG;FL_INFRAST;FL00000R
kkR-yyyy-yy-57-FYn;EDIFICI VARI;1300;13;1310;ALG;FL_INFRAST;FL00000R
kkR-yyyy-yy-57-TE0;TERRENI;1300;13;1311;ALG;FL_INFRAST;FL00000R
kkR-yyyy-yy-57-SA0;STRADE;1300;13;1310;ALG;FL_INFRAST;FL00000R
kkR-yyyy-yy-75-CK0;STAZIONE ARIA COMPRESSA;1370;13;1330;ALG;FL_OTHER;FL00000R
kkR-yyyy-yy-75-CS0;STRUMENTAZIONE IMPIANTO;1370;13;1330;ALG;FL_AUT&CON;FL00000R
kkR-yyyy-yy-75-DR0;DRENAGGI IMPIANTO;1370;13;1330;ALG;FL_PIPING;FL00000R
kkR-yyyy-yy-75-E4n;CASSA ARIA DI COMPENSAZIONE;1370;13;1330;ALG;FL_OTHER;FL00000R
kkR-yyyy-yy-75-ICn;CLIMATIZZAZIONE BOX IMPIANTO;1370;13;1330;ALG;FL_BR_SYST;FL00000R
kkR-yyyy-yy-75-IL0;LUCE E F.M.;1370;13;1330;ALG;FL_AUXSYST;FL00000R
kkR-yyyy-yy-75-IMn;INTERRUTTORE MT n;1370;13;1330;ALG;FL_AUXSYST;FL00000R
kkR-yyyy-yy-75-nyy;TRATTO TUBAZIONE REINIEZIONE nyy;1370;13;1330;ALG;FL_PIPING;FL00000R
kkR-yyyy-yy-75-nyy-kn;TRATTO TUBAZIONE REINIEZIONE kn;1370;13;1330;ALG;FL_PIPING;FL00000R
