FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkU;IsoCode Country + Technology (G);;;;;;
kkU-yyyy;Plant code;;;;;;
kkU-yyyy-yy;Plant name;;;;;;FL00000G
kkU-yyyy-yy-03;CICLO ACQUA;0000;84;8440;SIG;FL_OTHER;FL00000G
kkU-yyyy-yy-03-CKn;ARIA COMPRESSA STAZIONE POMPAGGIO;0000;84;8440;ALG;FL_OTHER;FL00000G
kkU-yyyy-yy-03-CSn;STRUMENTAZIONE ACQUA STAZIONE SCAMBIO;0000;84;8440;ALG;FL_AUT&CON;FL00000G
kkU-yyyy-yy-03-IT0;ISOLAMENTO TERMICO;0000;84;8440;ALG;FL_OTHER;FL00000G
kkU-yyyy-yy-03-PCn;POMPA P01 STAZIONE POMPAGGIO;0000;84;8440;ICG;FL_PUMPS;FL00000G
kkU-yyyy-yy-03-SBn;SCAMBIATORE PRINC. RISCALDAM. PAESE N.1;0000;84;8440;ALG;FL_EXCHANG;FL00000G
kkU-yyyy-yy-03-TVn;TUBAZIONI E VALVOLE ACQUA CONDENSATRICE;0000;84;8440;ALG;FL_PIPING;FL00000G
kkU-yyyy-yy-22;BASSA TENSIONE CESSIONE CALORE;0000;84;8440;SIG;FL_LVSECT;FL00000G
kkU-yyyy-yy-22-ILn;IMPIANTO LUCE FORZA MOTRICE;0000;84;8440;ALG;FL_LVSECT;FL00000G
kkU-yyyy-yy-22-QBn;QUADRI DI POTENZA BT;0000;84;8440;ALG;FL_LVSECT;FL00000G
kkU-yyyy-yy-22-QPn;QUADRI DISTRIBUZIONI LOCALI BT;0000;84;8440;ALG;FL_LVSECT;FL00000G
kkU-yyyy-yy-24;CORRENTE CONTINUA TELER. CASTELN.;0000;84;8440;SIG;FL_DCSYST;FL00000G
kkU-yyyy-yy-24-BAn;BATTERIE;0000;84;8440;ALG;FL_DCSYST;FL00000G
kkU-yyyy-yy-24-Q10;QUADRO CONVERT. E DISTRIBUT.220VCA-24VCC;0000;84;8440;ALG;FL_DCSYST;FL00000G
kkU-yyyy-yy-24-RD0;RADDRIZZATORI;0000;84;8440;ALG;FL_DCSYST;FL00000G
kkU-yyyy-yy-26;COMANDI E SUPERVISIONE IMPIANTO;0000;84;8440;SIG;FL_AUT&CON;FL00000G
kkU-yyyy-yy-26-CBn;COMANDI E BLOCCHI;0000;84;8440;ALG;FL_AUT&CON;FL00000G
kkU-yyyy-yy-26-CLn;CALCOLATORE PLC;0000;84;8440;ALG;FL_AUT&CON;FL00000G
kkU-yyyy-yy-26-MC0;MISURE DI CICLO E ELETTRICHE;0000;84;8440;ALG;FL_AUT&CON;FL00000G
kkU-yyyy-yy-32;RETE DI TERRA;0000;84;8440;ALG;FL_SAFSYST;FL00000G
kkU-yyyy-yy-32-RV0;MAGLIA DI TERRA;0000;84;8440;ALG;FL_SAFSYST;FL00000G
kkU-yyyy-yy-47;SISTEMA TELECOMANDO;0000;84;8440;SIG;FL_OTHER;FL00000G
