FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkH;IsoCode Country + Technology (H);;;;;;
kkH-yyyy;Nome Centrale;;;;;;FL00000H
kkH-yyyy-Px;Parti Generiche di impianto;;;;;;FL00000H
kkH-yyyy-Px-11x;Terreni;0000;11;1111;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-11x-10;Terreni EGP;0000;11;1111;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-11x-11;Terreni asserviti;0000;11;1111;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-11x-12;Opere sistemaz. Terreno;0000;11;1111;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-11x-13;Opere bonifica;0000;11;1111;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-11x-14;Opere di difesa idraulica;0000;11;1111;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-12x;Infrastrutture;0000;11;1110;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-12x-10;Strade e Piazzali;0000;11;1110;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-12x-11;Raccordi ferroviari;0000;11;1110;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-12x-12;Rete idrica;0000;11;1110;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-12x-13;Fognature acque bianche;0000;11;1110;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-12x-14;Fognature acque nere;0000;11;1110;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-12x-15;Recinzioni;0000;11;1110;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-12x-16;Opere di giardinaggio e rimboschimento;0000;11;1110;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-12x-17;Piazzuole atterraggio elicotteri;0000;11;1110;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-12x-18;Parapetti;0000;11;1110;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-13x;Conche e canali;0000;11;1120;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-13x-10;Conche di navigazione;0000;11;1120;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-13x-11;Canali irrigui;0000;11;1120;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-13x-12;Rogge;0000;11;1120;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-14x;Sistema trasporto;0000;11;1150;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-14x-10;Teleferiche;0000;11;1150;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-14x-11;Funivie;0000;11;1150;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-14x-12;Ascensori e montacarichi;0000;11;1150;ALI;FL_INFRAST;FL00000H
kkH-yyyy-Px-14x-13;Funicolari e piani inclinati;0000;11;1150;ALI;FL_INFRAST;FL00000H
