FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkS;IsoCode Country + Technology (S);;;;;;
kkS-yyyy;Plant code;;;;;;
kkS-yyyy-pp;PCU_<ID_FIELD>;0000;;;;;FL00000S
kkS-yyyy-pp-OC;Civil Works;0000;18;1810;OPC;FL_INFRAST;FL00000S
kkS-yyyy-pp-OC-WS;Sheaths;0000;18;1810;OPC;FL_INFRAST;FL00000S
kkS-yyyy-pp-OC-MF;Metallic frame;0000;18;1810;OPC;FL_INFRAST;FL00000S
kkS-yyyy-pp-OC-FO;Foundations;0000;18;1810;OPC;FL_INFRAST;FL00000S
kkS-yyyy-pp-OC-MR;Dirt Work;0000;18;1810;;FL_INFRAST;FL00000S
kkS-yyyy-pp-MV;MV Section;0000;18;1840;SCC;FL_MVSECT;FL00000S
kkS-yyyy-pp-MV-CL;MV cables;0000;18;1840;ALE;FL_MVSECT;
kkS-yyyy-pp-MV-IT;MV Switchgear;0000;18;1840;SCC;FL_MVSECT;FL00000S
kkS-yyyy-pp-MV-PR;MV Protective Systems;0000;18;1840;CLE;FL_MVSECT;FL00000S
kkS-yyyy-pp-MV-SZ;MV On Load Transformer Switch;0000;18;1840;;FL_MVSECT;FL00000S
kkS-yyyy-pp-CE;Energy Meters;0000;18;1880;ALE;FL_AUT&CON;FL00000S
kkS-yyyy-pp-CE-CA;Auxiliary meter;0000;18;1880;ALE;FL_AUT&CON;FL00000S
kkS-yyyy-pp-CE-CR;AC Revenue Meter;0000;18;1880;ALE;FL_AUT&CON;FL00000S
kkS-yyyy-pp-LV;LV Section;0000;18;1850;SBT;FL_AUXSYST;FL00000S
kkS-yyyy-pp-LV-CL;LV cables;0000;18;1850;ALE;FL_LVSECT;
kkS-yyyy-pp-LV-LA;LV Auxiliary section;0000;18;1850;SBT;FL_AUXSYST;FL00000S
kkS-yyyy-pp-LV-LA-IT;Auxiliary general breaker;0000;18;1850;SCC;FL_AUXSYST;FL00000S
kkS-yyyy-pp-LV-LA-UP;UPS Circuits;0000;18;1850;ALI;FL_AUXSYST;FL00000S
kkS-yyyy-pp-LV-LA-UN;Normal AC Circuits;0000;18;1850;ALI;FL_AUXSYST;FL00000S
kkS-yyyy-pp-LV-LA-TR;Auxiliary service transformer;0000;18;1850;TRF;FL_AUXSYST;FL00000S
kkS-yyyy-pp-LV-LP;Parallel LV section;0000;18;1840;SBT;FL_LVSECT;FL00000S
kkS-yyyy-pp-LV-LP-IT;Parallel general breaker;0000;18;1840;SCC;FL_LVSECT;FL00000S
kkS-yyyy-pp-LV-LP-TK;Metallic tank;0000;18;1840;CLE;FL_LVSECT;FL00000S
kkS-yyyy-pp-LV-LP-PI;Relay parallel protection;0000;18;1840;CLE;FL_LVSECT;FL00000S
kkS-yyyy-pp-LV-LP-QG;LV Cabling to SU Transformer;0000;18;1840;;FL_LVSECT;FL00000S
kkS-yyyy-pp-LV-LP-CO;Consumables;0000;18;1840;SCC;FL_LVSECT;FL00000S
kkS-yyyy-pp-LV-LP-pp;Inverter nn Output Circuit breaker;0000;18;1840;SCC;FL_LVSECT;FL00000S
kkS-yyyy-pp-CS;Charging Station;0000;18;1840;;FL_LVSECT;FL00000S
kkS-yyyy-pp-UP;UPS;0000;18;1850;SCC;FL_LVSECT;FL00000S
kkS-yyyy-pp-FC;Container HVAC;0000;18;1860;SCC;FL_OTHER;FL00000S
kkS-yyyy-pp-CL;Underground Cables and Overhead Power Lines;0000;18;1840;CLE;FL_POWLINE;FL00000S
kkS-yyyy-pp-FP;Floating platform;0000;18;1860;STS;FL_SUPSTRU;FL00000S
kkS-yyyy-pp-FP-F1;Floating elements;0000;18;1860;STS;FL_SUPSTRU;FL00000S
kkS-yyyy-pp-FP-F2;Anchors;0000;18;1860;STS;FL_SUPSTRU;FL00000S
kkS-yyyy-pp-ST;Support Structures;0000;18;1860;STS;FL_SUPSTRU;FL00000S
kkS-yyyy-pp-ST-S1;Metallic parts;0000;18;1860;STS;FL_SUPSTRU;FL00000S
kkS-yyyy-pp-ST-S2;Concrete foundations and pillings;0000;18;1860;STS;FL_SUPSTRU;FL00000S
kkS-yyyy-pp-ST-S4;Grounding system;0000;18;1860;STS;FL_SUPSTRU;FL00000S
kkS-yyyy-pp-ST-S6;Panel Fixed Metal Structure;0000;18;1860;STS;FL_SUPSTRU;FL00000S
kkS-yyyy-pp-TT;Tracker System;0000;18;1850;;FL_TRACKER;FL00000S
kkS-yyyy-pp-TS;Arrays anti-tefts system;0000;18;1850;ALE;FL_SECSYST;FL00000S
kkS-yyyy-pp-TS-TA;Active Anti Tefts system;0000;18;1850;ALE;FL_SECSYST;FL00000S
kkS-yyyy-pp-TS-TS;Passive Anti Tefts system;0000;18;1850;;FL_SECSYST;FL00000S
kkS-yyyy-pp-TC;SCADA System;0000;18;1880;SCA;FL_AUT&CON;FL00000S
kkS-yyyy-pp-TC-AP;Scada devices;0000;18;1880;SCA;FL_AUT&CON;FL00000S
kkS-yyyy-pp-TC-LN;Internal LAN;0000;18;1880;SCA;FL_AUT&CON;FL00000S
kkS-yyyy-pp-TC-SM;Met sensors;0000;18;1880;SCA;FL_METSENS;FL00000S
kkS-yyyy-pp-TC-SM-IR;Irradiance;0000;18;1880;SCA;FL_METSENS;FL00000S
kkS-yyyy-pp-TC-SM-TA;Ambient Temperature;0000;18;1880;SCA;FL_METSENS;FL00000S
kkS-yyyy-pp-TC-SM-TM;Module Temperature sensor;0000;18;1880;SCA;FL_METSENS;FL00000S
kkS-yyyy-pp-TC-SM-PR;Ambient Pressure;0000;18;1880;;FL_METSENS;FL00000S
kkS-yyyy-pp-TC-SM-HU;Hummidity;0000;18;1880;SCA;FL_METSENS;FL00000S
kkS-yyyy-pp-TC-SM-WI;Wind intensity;0000;18;1880;SCA;FL_METSENS;FL00000S
kkS-yyyy-pp-TC-SM-WU;Wind direction;0000;18;1880;SCA;FL_METSENS;FL00000S
kkS-yyyy-pp-TC-SM-RI;Rain intensity sensor;0000;18;1880;SCA;FL_METSENS;FL00000S
kkS-yyyy-pp-TC-SM-MS;Met station power supply;0000;18;1880;SCA;FL_METSENS;FL00000S
kkS-yyyy-pp-TC-SM-SO;Soiling sensor;0000;18;1880;SCA;FL_METSENS;FL00000S
kkS-yyyy-pp-TC-SM-WE;Multipurpose weather sensor;0000;18;1880;SCA;FL_METSENS;FL00000S
kkS-yyyy-pp-TC-SM-BI;Back Irradiance;0000;18;1880;;FL_METSENS;
kkS-yyyy-pp-Tn;PCU_nn_LV/MV Transformer_n;0000;18;1842;TRF;FL_TRANSF;FL00000S
kkS-yyyy-pp-Tn-PT;Transformer protective system;0000;18;1842;TAM;FL_TRACOMP;FL00000S
kkS-yyyy-pp-nn;PCU_<ID_FIELD>_INV_<ID_INV>;0000;18;1841;INV;FL_INVERT;FL00000S
kkS-yyyy-pp-nn-Tn;LV/LV Field Transformer;0000;18;1841;TRF;FL_LVSECT;FL00000S
kkS-yyyy-pp-nn-FU;Fuse Combiner;0000;18;1841;;FL_INVCOMP;FL00000S
kkS-yyyy-pp-nn-D1;DC section;0000;18;1841;SDC;FL_INVCOMP;FL00000S
kkS-yyyy-pp-nn-D1-MP;MPPT control system;0000;18;1841;SDC;FL_INVCOMP;FL00000S
kkS-yyyy-pp-nn-D1-GI;Ground Impedence system;0000;18;1841;SDC;FL_INVCOMP;FL00000S
kkS-yyyy-pp-nn-AC;AC section;0000;18;1841;SAC;FL_INVCOMP;FL00000S
kkS-yyyy-pp-nn-AC-GC;Convertion group;0000;18;1841;SAC;FL_INVCOMP;FL00000S
kkS-yyyy-pp-nn-AC-IP;Interface Protection System;0000;18;1841;SAC;FL_INVCOMP;FL00000S
kkS-yyyy-pp-nn-IS;Isolation Transformer;0000;18;1841;SAC;FL_INVCOMP;FL00000S
kkS-yyyy-pp-nn-CO;Consumables;0000;18;1841;ALE;FL_INVCOMP;FL00000S
kkS-yyyy-pp-nn-AR;Cooling Fans;0000;18;1841;ALE;FL_INVCOMP;FL00000S
kkS-yyyy-pp-nn-TK;Metallic tank;0000;18;1841;ALE;FL_INVCOMP;FL00000S
kkS-yyyy-pp-nn-HI;Human machine interface;0000;18;1841;SCA;FL_INVCOMP;FL00000S
kkS-yyyy-pp-nn-DS;DC Disconnect Switch;0000;18;1841;SDC;FL_INVCOMP;FL00000S
kkS-yyyy-pp-nn-IT;AC Breaker;0000;18;1841;SAC;FL_INVCOMP;FL00000S
kkS-yyyy-pp-nn-PS;External Power supply;0000;18;1850;;FL_AUXSYST;FL00000S
kkS-yyyy-pp-nn-RC;Remote communication;0000;18;1841;SCA;FL_AUT&CON;FL00000S
kkS-yyyy-pp-nn-nn;Combiner nn;0000;18;1840;QUA;FL_COMBINE;FL00000S
