TPLNR;PLTXT;TPLKZ;FLTYP;EQART;BRGEW;GEWEI;GROES;INVNR;DATAB;ANSWT;WAERS;ANSDT;HERST;HERLD;TYPBZ;BAUJJ;BAUMM;MAPAR;SERGE;SWERK;STORT;BEBER;MSGRP;ABCKZ;EQFNR;BUKRS;KOSTL;RBNR;ANLNR;ANLUN;PROID;IWERK;INGRP;GEWRK;WERGW;TPLMA;POSNR;SUBMT;IEQUI;EINZL;NAME1;SORT1;STREET;HOUSE_NUM1;POST_CODE1;CITY1;COUNTRY;REGION;TIME_ZONE;TEL_NUMBER;MOB_NUMBER;FAX_NUMBER;SMTP_ADDR;PARVW;PARNR;TEL_NUMBER_OLD;MOB_NUMBER_OLD;FAX_NUMBER_OLD;ZZITO_CAP_NOM;ZZITO_CAP_PART;PARNR_OLD;SMTP_ADDR_OLD;PARVW_OLD;LONGITUDE;LATITUDE;ALTITUDE;Z_ABCKZ;TRPNR;ADRNRI
COS-COG3-0A;Subestacion;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T;Transformador común AT/MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-HV;Sección AT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-HV-IT;Interruptor AT/Int automático/IGIS;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-HV;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-HV-BS;Conexión AT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-HV;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-OC;Obras civiles;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-HV-R1;Relés de protección AT/MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-HV;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-HV-R2;Relés de protección AT/MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-HV;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-HV-S1;Pararrayos AT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-HV;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-HV-D1;Seccionador AT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-HV;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
