TPLNR	PLTXT	TPLKZ	FLTYP	EQART	BRGEW	GEWEI	GROES	INVNR	DATAB	ANSWT	WAERS	ANSDT	HERST	HERLD	TYPBZ	BAUJJ	BAUMM	MAPAR	SERGE	SWERK	STORT	BEBER	MSGRP	ABCKZ	EQFNR	BUKRS	KOSTL	RBNR	ANLNR	ANLUN	PROID	IWERK	INGRP	GEWRK	WERGW	TPLMA	POSNR	SUBMT	IEQUI	EINZL	NAME1	SORT1	STREET	HOUSE_NUM1	POST_CODE1	CITY1	COUNTRY	REGION	TIME_ZONE	TEL_NUMBER	MOB_NUMBER	FAX_NUMBER	SMTP_ADDR	PARVW	PARNR	TEL_NUMBER_OLD	MOB_NUMBER_OLD	FAX_NUMBER_OLD	ZZITO_CAP_NOM	ZZITO_CAP_PART	PARNR_OLD	SMTP_ADDR_OLD	PARVW_OLD	LONGITUDE	LATITUDE	ALTITUDE	Z_ABCKZ	TRPNR	ADRNRI
COS-COG3-0A	Subestación 500/33 KV	Z-RSS	S																	COG3	00	18		P		CO13	CO13RE0103					COG3	OSO	I_GYEOP	COG3	COS-COG3											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1L	Línea AT	Z-RSS	S	FL_LI_SS																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1L-HV	Sección AT	Z-RSS	S	FL_HVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1L											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1L-HV-BS	Conexión AT	Z-RSS	S	FL_HVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1L-HV											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1L-HV-S1	Pararrayos AT	Z-RSS	S	FL_HVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1L-HV											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1L-HV-V1	Trafos M&P AT (TP)	Z-RSS	S	FL_HVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1L-HV											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1L-OC	Obra civil	Z-RSS	S	FL_INFRAST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1L											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1L-OL	Líneas eléctricas aéreas	Z-RSS	S	FL_POWLINE																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1L											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1M	Fdr n.01 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1M-MA	Fdr n.01 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1M											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1M-MA-BS	Fdr n.01 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1M-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1T	Transformador princial CHINT 500 /33 KV	Z-RSS	S	FL_TR_SS																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1T-HV	Sección AT	Z-RSS	S	FL_HVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1T											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1T-HV-A1	Transf medida/protección AT (TC)	Z-RSS	S	FL_HVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1T-HV											CO																	-74,80993571	10,571545650408375				
