VALUE;SUB_VALUE;SUB_VALUE2;TPLKZ;FLTYP;FLLEVEL;CODE_SEZ_PM;CODE_SIST;CODE_PARTE;TIPO_ELEM
0B;P1;03;Z-RSS;S;5;0000;18;1841;
0B;P1;05;Z-RSS;S;5;0000;18;1841;
0B;P1;06;Z-RSS;S;5;0000;18;1841;
0B;P1;07;Z-RSS;S;5;0000;18;1841;
0B;P1;08;Z-RSS;S;5;0000;18;1841;
0B;P1;09;Z-RSS;S;5;0000;18;1841;
0B;P1;10;Z-RSS;S;5;0000;18;1841;
0B;P2;02;Z-RSS;S;5;0000;18;1841;
0B;P2;03;Z-RSS;S;5;0000;18;1841;
0B;P2;04;Z-RSS;S;5;0000;18;1841;
0B;P2;05;Z-RSS;S;5;0000;18;1841;
0B;P2;06;Z-RSS;S;5;0000;18;1841;
0B;P2;07;Z-RSS;S;5;0000;18;1841;
0B;P2;08;Z-RSS;S;5;0000;18;1841;
0B;P2;09;Z-RSS;S;5;0000;18;1841;
0B;P2;10;Z-RSS;S;5;0000;18;1841;
0C;P1;03;Z-RSS;S;5;0000;18;1841;
0C;P1;05;Z-RSS;S;5;0000;18;1841;
0C;P1;06;Z-RSS;S;5;0000;18;1841;
0C;P1;07;Z-RSS;S;5;0000;18;1841;
0C;P1;08;Z-RSS;S;5;0000;18;1841;
0C;P1;09;Z-RSS;S;5;0000;18;1841;
0C;P1;10;Z-RSS;S;5;0000;18;1841;
0C;P2;02;Z-RSS;S;5;0000;18;1841;
0C;P2;03;Z-RSS;S;5;0000;18;1841;
0C;P2;04;Z-RSS;S;5;0000;18;1841;
0C;P2;05;Z-RSS;S;5;0000;18;1841;
0C;P2;06;Z-RSS;S;5;0000;18;1841;
0C;P2;07;Z-RSS;S;5;0000;18;1841;
0C;P2;08;Z-RSS;S;5;0000;18;1841;
0C;P2;09;Z-RSS;S;5;0000;18;1841;
0C;P2;10;Z-RSS;S;5;0000;18;1841;
0D;P1;03;Z-RSS;S;5;0000;18;1841;
0D;P1;05;Z-RSS;S;5;0000;18;1841;
0D;P1;06;Z-RSS;S;5;0000;18;1841;
0D;P1;07;Z-RSS;S;5;0000;18;1841;
0D;P1;08;Z-RSS;S;5;0000;18;1841;
0D;P1;09;Z-RSS;S;5;0000;18;1841;
0D;P1;10;Z-RSS;S;5;0000;18;1841;
0D;P2;02;Z-RSS;S;5;0000;18;1841;
0D;P2;03;Z-RSS;S;5;0000;18;1841;
0D;P2;04;Z-RSS;S;5;0000;18;1841;
0D;P2;05;Z-RSS;S;5;0000;18;1841;
0D;P2;06;Z-RSS;S;5;0000;18;1841;
0D;P2;07;Z-RSS;S;5;0000;18;1841;
0D;P2;08;Z-RSS;S;5;0000;18;1841;
0D;P2;09;Z-RSS;S;5;0000;18;1841;
0D;P2;10;Z-RSS;S;5;0000;18;1841;
0E;P1;03;Z-RSS;S;5;0000;18;1841;
0E;P1;05;Z-RSS;S;5;0000;18;1841;
0E;P1;06;Z-RSS;S;5;0000;18;1841;
0E;P1;07;Z-RSS;S;5;0000;18;1841;
0E;P1;08;Z-RSS;S;5;0000;18;1841;
0E;P1;09;Z-RSS;S;5;0000;18;1841;
0E;P1;10;Z-RSS;S;5;0000;18;1841;
0E;P2;02;Z-RSS;S;5;0000;18;1841;
0E;P2;03;Z-RSS;S;5;0000;18;1841;
0E;P2;04;Z-RSS;S;5;0000;18;1841;
0E;P2;05;Z-RSS;S;5;0000;18;1841;
0E;P2;06;Z-RSS;S;5;0000;18;1841;
0E;P2;07;Z-RSS;S;5;0000;18;1841;
0E;P2;08;Z-RSS;S;5;0000;18;1841;
0E;P2;09;Z-RSS;S;5;0000;18;1841;
0E;P2;10;Z-RSS;S;5;0000;18;1841;
0F;P1;03;Z-RSS;S;5;0000;18;1841;
0F;P1;05;Z-RSS;S;5;0000;18;1841;
0F;P1;06;Z-RSS;S;5;0000;18;1841;
0F;P1;07;Z-RSS;S;5;0000;18;1841;
0F;P1;08;Z-RSS;S;5;0000;18;1841;
0F;P1;09;Z-RSS;S;5;0000;18;1841;
0F;P1;10;Z-RSS;S;5;0000;18;1841;
0F;P2;02;Z-RSS;S;5;0000;18;1841;
0F;P2;03;Z-RSS;S;5;0000;18;1841;
0F;P2;04;Z-RSS;S;5;0000;18;1841;
0F;P2;05;Z-RSS;S;5;0000;18;1841;
0F;P2;06;Z-RSS;S;5;0000;18;1841;
0F;P2;07;Z-RSS;S;5;0000;18;1841;
0F;P2;08;Z-RSS;S;5;0000;18;1841;
0F;P2;09;Z-RSS;S;5;0000;18;1841;
0F;P2;10;Z-RSS;S;5;0000;18;1841;
0G;P1;03;Z-RSS;S;5;0000;18;1841;
0G;P1;05;Z-RSS;S;5;0000;18;1841;
0G;P1;06;Z-RSS;S;5;0000;18;1841;
0G;P1;07;Z-RSS;S;5;0000;18;1841;
0G;P1;08;Z-RSS;S;5;0000;18;1841;
0G;P1;09;Z-RSS;S;5;0000;18;1841;
0G;P1;10;Z-RSS;S;5;0000;18;1841;
0G;P2;02;Z-RSS;S;5;0000;18;1841;
0G;P2;03;Z-RSS;S;5;0000;18;1841;
0G;P2;04;Z-RSS;S;5;0000;18;1841;
0G;P2;05;Z-RSS;S;5;0000;18;1841;
0G;P2;06;Z-RSS;S;5;0000;18;1841;
0G;P2;07;Z-RSS;S;5;0000;18;1841;
0G;P2;08;Z-RSS;S;5;0000;18;1841;
0G;P2;09;Z-RSS;S;5;0000;18;1841;
0G;P2;10;Z-RSS;S;5;0000;18;1841;
0H;P1;03;Z-RSS;S;5;0000;18;1841;
0H;P1;05;Z-RSS;S;5;0000;18;1841;
0H;P1;06;Z-RSS;S;5;0000;18;1841;
0H;P1;07;Z-RSS;S;5;0000;18;1841;
0H;P1;08;Z-RSS;S;5;0000;18;1841;
0H;P1;09;Z-RSS;S;5;0000;18;1841;
0H;P1;10;Z-RSS;S;5;0000;18;1841;
0H;P2;02;Z-RSS;S;5;0000;18;1841;
0H;P2;03;Z-RSS;S;5;0000;18;1841;
0H;P2;04;Z-RSS;S;5;0000;18;1841;
0H;P2;05;Z-RSS;S;5;0000;18;1841;
0H;P2;06;Z-RSS;S;5;0000;18;1841;
0H;P2;07;Z-RSS;S;5;0000;18;1841;
0H;P2;08;Z-RSS;S;5;0000;18;1841;
0H;P2;09;Z-RSS;S;5;0000;18;1841;
0H;P2;10;Z-RSS;S;5;0000;18;1841;
0I;P1;03;Z-RSS;S;5;0000;18;1841;
0I;P1;05;Z-RSS;S;5;0000;18;1841;
