VALUE;SUB_VALUE;SUB_VALUE2;TPLKZ;FLTYP;FLLEVEL;EQART;RBNR;NATURE;DOCUMENTO_PM
01;P2;03;Z-RSS;S;5;FL_INVERT;FL00000S;;
01;P2;04;Z-RSS;S;5;FL_INVERT;FL00000S;;
01;P2;05;Z-RSS;S;5;FL_INVERT;FL00000S;;
02;P2;03;Z-RSS;S;5;FL_INVERT;FL00000S;;
02;P2;04;Z-RSS;S;5;FL_INVERT;FL00000S;;
02;P2;05;Z-RSS;S;5;FL_INVERT;FL00000S;;
03;P2;03;Z-RSS;S;5;FL_INVERT;FL00000S;;
03;P2;04;Z-RSS;S;5;FL_INVERT;FL00000S;;
03;P2;05;Z-RSS;S;5;FL_INVERT;FL00000S;;
04;P2;03;Z-RSS;S;5;FL_INVERT;FL00000S;;
04;P2;04;Z-RSS;S;5;FL_INVERT;FL00000S;;
04;P2;05;Z-RSS;S;5;FL_INVERT;FL00000S;;
05;P2;03;Z-RSS;S;5;FL_INVERT;FL00000S;;
05;P2;04;Z-RSS;S;5;FL_INVERT;FL00000S;;
05;P2;05;Z-RSS;S;5;FL_INVERT;FL00000S;;
06;P2;03;Z-RSS;S;5;FL_INVERT;FL00000S;;
06;P2;04;Z-RSS;S;5;FL_INVERT;FL00000S;;
06;P2;05;Z-RSS;S;5;FL_INVERT;FL00000S;;
07;P2;03;Z-RSS;S;5;FL_INVERT;FL00000S;;
07;P2;04;Z-RSS;S;5;FL_INVERT;FL00000S;;
07;P2;05;Z-RSS;S;5;FL_INVERT;FL00000S;;
08;P2;03;Z-RSS;S;5;FL_INVERT;FL00000S;;
08;P2;04;Z-RSS;S;5;FL_INVERT;FL00000S;;
08;P2;05;Z-RSS;S;5;FL_INVERT;FL00000S;;
09;P2;03;Z-RSS;S;5;FL_INVERT;FL00000S;;
09;P2;04;Z-RSS;S;5;FL_INVERT;FL00000S;;
09;P2;05;Z-RSS;S;5;FL_INVERT;FL00000S;;
0B;P1;02;Z-RSS;S;5;FL_INVCOMP;FL00000S;;
0B;P1;03;Z-RSS;S;5;FL_INVCOMP;FL00000S;;
0B;P1;04;Z-RSS;S;5;FL_INVCOMP;FL00000S;;
0B;P1;05;Z-RSS;S;5;FL_INVCOMP;FL00000S;;
0B;P1;06;Z-RSS;S;5;FL_INVCOMP;FL00000S;;
0B;P1;07;Z-RSS;S;5;FL_INVCOMP;FL00000S;;
0B;P1;08;Z-RSS;S;5;FL_INVCOMP;FL00000S;;
0B;P1;09;Z-RSS;S;5;FL_INVCOMP;FL00000S;;
