Livello_1;Livello_2
ITH;US00
CLH;USGE
ITL;G001
PEH;G002
COH;G006
ESH;G008
BRH;G009
ARH;G010
USH;G036
CLH;G045
CLH;G046
CLH;G048
CLH;G049
CLH;G050
CLH;G051
CLH;G057
CRH;G058
GTH;G059
PAH;G084
GRH;G087
MXH;G121
PEH;G122
;G128
;G129
;G132
;G137
;G143
;G144
;G146
;G148
;G149
;G151
;G152
;G153
;G182
;G199
;G200
;G201
;G203
;G204
;G205
;G206
;G207
;G261
;G262
;G287
;G290
;G319
;G320
;G321
;G322
;G323
;G346
;G349
;G350
;G351
;G352
;G353
;G354
;G355
;G383
;G385
;R001
;R002
;R003
;R004
;R005
;R008
;R009
;R010
;R011
;R012
;R013
;R014
;R015
;R016
;R018
;R019
;R020
;R021
;R022
;R023
;R024
;R025
;R026
;R030
;R032
;R033
;R035
;R036
;R037
;R039
;R040
;R041
;R042
;R043
;R044
;R045
;R046
;R047
;R048
;R049
;R050
;R051
;R052
;R053
;R054
;R055
;R056
;R057
;R058
;R059
;R060
;R061
;R062
;R063
;R064
;R066
;R067
;R069
;R070
;R071
;R073
;R074
;R075
;R076
;R077
;R078
;R079
;R080
;R081
;R082
;R083
;R084
;R085
;R086
;R087
;R088
;R089
;R090
;R091
;R092
;R093
;R094
;R095
;R096
;R097
;R098
;R099
;R100
;R101
;R102
;R103
;R104
;R105
;R106
;R107
;R108
;R109
;R110
;R111
;R112
;R113
;R114
;R115
;R116
;R118
;R119
;R120
;R121
;R122
;R123
;R124
;R125
;R126
;R128
;R129
;R130
;R131
;R132
;R133
;R134
;R135
;R138
;R139
;R140
;R141
;R142
;R143
;R144
;R145
;R148
;R149
;R150
;R155
;R158
;R159
;R160
;R161
;R163
;R164
;R165
;R166
;R167
;R168
;R169
;R170
;R171
;R174
;R175
;R177
;R178
;R179
;R180
;R183
;R184
;R185
;R186
;R187
;R189
;R190
;R193
;R194
;R195
;R196
;R197
;R198
;R199
;R200
;R202
;R203
;R205
;R206
;R208
;R209
;R211
;R212
;R213
;R214
;R215
;R216
;R217
;R218
;R219
;R221
;R222
;R224
;R225
;R226
;R227
;R228
;R229
;R230
;R231
;R233
;R234
;R236
;R237
;R238
;R239
;R240
;R241
;R244
;R245
;R246
;R247
;R248
;R249
;R251
;R252
;R253
;R254
;R256
;R257
;R258
;R259
;R269
;R270
;R271
;R274
;R275
;R292
;R502
;R523
;RVI0
;PELA
;G060
;G061
;R526
;R528
;1003
;1004
;1005
;1007
;1013
;1014
;1015
;1016
;1017
;1018
;1019
;1020
;1021
;1022
;1023
;1024
;1025
;1026
;1027
;1028
;1029
;1030
;1031
;1032
;1033
;1034
;1035
;1037
;1038
;1039
;1040
;1041
;1042
;1043
;1044
;1052
;1053
;1054
;1061
;3006
;3007
;3017
;3027
;3028
;3029
;3031
;3034
;3038
;3501
;1060
;1067
;1081
;1082
;1083
;1085
;1086
;1088
;1089
;1090
;1091
;1092
;1093
;1094
;1095
;1096
;1097
;1098
;1099
;1100
;1101
;1102
;1103
;1104
;1105
;1106
;1107
;1108
;1109
;1110
;1111
;1112
;1113
;1114
;1115
;1116
;1117
;1118
;1123
;1124
;1125
;1126
;1127
;1130
;1131
;1133
;1134
;1135
;1136
;1138
;1139
;1140
;1141
;1142
;1145
;1147
;1154
;1155
;1156
;3068
;3072
;3503
;3504
;3505
;3506
;3507
;1062
;1063
;1064
;1065
;1076
;1170
;1171
;1172
;1173
;1174
;1175
;1179
;1181
;1183
;1184
;1185
;1186
;1187
;1188
;1189
;1190
;1191
;1192
;1193
;1194
;1195
;1208
;1209
;1210
;1211
;1231
;1232
;1983
;2138
;3117
;3136
;3137
;3508
;3521
;Z001
;1068
;1069
;1070
;1251
;1252
;1253
;1254
;1255
;1256
;1257
;1281
;1282
;1283
;1284
;1285
;1286
;1288
;1289
;3146
;3147
;3151
;3152
;3153
;3154
;3156
;3157
;3162
;3172
;3173
;3176
;3260
;3509
;3510
;3511
;3512
;3513
;3522
;1073
;1074
;1075
;1077
;1311
;1312
;1313
;1314
;1315
;1341
;1342
;1343
;1344
;1345
;1347
;1348
;1381
;1382
;1386
;1387
;1388
;3181
;3182
;3188
;3191
;3192
;3201
;3204
;3207
;3210
;3220
;3223
;3232
;3235
;3242
;3243
;3250
;3255
;3514
;3520
;1384
;1411
;1412
;1413
;1414
;1415
;1416
;1417
;1418
;1419
;1420
;1421
;1422
;1423
;1424
;1451
;1452
;1453
;1454
