Livello_3;Livello_4;Livello_5;Livello_6
00;AS;M2;IT
01;CL;CT;L1
02;FF;MC;L2
03;GG;LS;LS
04;IL;FO;MM
05;IT;WS;P1
06;OC;CE;P2
ZZ;SC;FC;PG
99;SS;MV;PS
A1;TC;UP;IR
0A;VC;IR;CL
0B;00;VS;SC
0C;01;AP;SM
07;02;LN;BU
08;CE;SM;01
09;FC;BU;02
10;LV;RO;03
11;MV;PV;04
12;ST;VC;05
13;T1;01;06
14;UP;02;07
15;03;03;08
16;04;04;09
17;05;05;10
18;06;06;11
19;T2;AC;12
20;T3;AR;13
21;TS;CO;14
22;VB;D1;15
23;VD;DS;16
24;IC;HI;GC
25;07;IT;IP
26;08;RC;GI
27;09;CA;MP
28;10;CR;TA
29;11;LA;TM
30;12;LP;WI
31;13;PR;17
32;14;S1;L3
33;15;S3;P3
34;16;S4;LU
35;17;S5;PL
36;18;07;VS
37;19;08;FE
38;20;09;GA
39;21;10;RO
40;22;CL;L4
41;23;LU;L5
42;24;PL;L6
43;25;FE;L7
44;26;GA;L8
45;27;IL;L9
46;28;SS;P4
47;29;S2;P5
48;30;TA;P6
49;31;11;P7
50;32;12;P8
51;33;13;P9
52;34;14;HU
53;35;15;RI
54;36;16;18
55;37;17;19
9Z;38;18;20
56;39;19;21
57;40;IS;22
58;41;TK;23
59;42;LI;24
60;43;LO;B1
61;44;LV;B2
62;FP;BA;DS
63;MT;MU;UN
64;TT;HT;UP
65;2T;T1;MF
66;1T;JC;nt
67;GE;OC;25
68;A0;AS;26
69;A7;CB;27
70;B0;GG;28
71;B6;MF;29
72;B7;PT;30
73;A1;CC;31
74;A2;SC;32
75;A3;TR;33
76;A4;F1;34
77;A5;F2;35
78;A6;HV;36
79;B1;SA;37
80;B2;FU;38
81;B3;PS;39
82;B4;SZ;40
83;B5;T2;41
84;3T;MR;42
85;45;TS;43
86;46;20;44
87;47;21;45
88;48;22;46
89;C0;23;47
90;C1;24;48
91;C2;0A;49
92;C3;0B;50
93;C4;0C;51
94;C5;0D;52
95;C6;0E;53
96;D0;0F;54
97;D1;0G;55
98;D2;0H;56
A0;E0;0I;57
A2;E1;0J;58
A3;E2;0K;59
A4;F0;0L;60
A5;F1;0M;PI
A6;F2;0N;WU
A7;P1;0O;CC
A8;P2;0P;TR
A9;PV;0Q;QG
B0;RU;0R;CB
B1;1L;0S;CA
B2;1S;0T;CR
B3;LA;0U;PT
B4;RE;0V;61
B5;SA;0W;62
B6;CS;0X;63
B7;2L;0Y;64
B8;2S;0Z;65
B9;1M;1A;66
C0;1;1B;67
C1;2;1C;68
C2;3;1D;69
C3;4;1E;70
Z9;49;1F;71
C4;CB;1G;72
C5;PR;1H;73
C6;SZ;1I;74
