Mdt;Valore Livello;Valore Liv. Superiore;Valore Liv. Superiore_1;Str.;C;Liv.Sede;Sezione;Tipologia;Componente;Tipo Elemento;Check
  100;00            ;01                   ;1E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_01_1E_5
  100;00            ;01                   ;2E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_01_2E_5
  100;00            ;01                   ;3E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_01_3E_5
  100;00            ;01                   ;4E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_01_4E_5
  100;00            ;01                   ;5E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_01_5E_5
  100;00            ;01                   ;6E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_01_6E_5
  100;00            ;01                   ;7E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_01_7E_5
  100;00            ;01                   ;8E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_01_8E_5
  100;00            ;01                   ;9E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_01_9E_5
  100;00            ;01                   ;AE                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_01_AE_5
  100;00            ;01                   ;BE                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_01_BE_5
  100;00            ;01                   ;CE                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_01_CE_5
  100;00            ;01                   ;DE                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_01_DE_5
  100;00            ;01                   ;EE                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_01_EE_5
  100;00            ;02                   ;1E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_02_1E_5
  100;00            ;02                   ;2E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_02_2E_5
  100;00            ;02                   ;3E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_02_3E_5
  100;00            ;02                   ;4E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_02_4E_5
  100;00            ;02                   ;5E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_02_5E_5
  100;00            ;02                   ;6E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_02_6E_5
  100;00            ;02                   ;7E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_02_7E_5
  100;00            ;02                   ;8E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_02_8E_5
  100;00            ;02                   ;9E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_02_9E_5
  100;00            ;02                   ;AE                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_02_AE_5
  100;00            ;02                   ;BE                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_02_BE_5
  100;00            ;02                   ;CE                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_02_CE_5
  100;00            ;02                   ;DE                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_02_DE_5
  100;00            ;02                   ;EE                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_02_EE_5
  100;00            ;03                   ;1E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_03_1E_5
  100;00            ;03                   ;2E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_03_2E_5
  100;00            ;03                   ;3E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_03_3E_5
  100;00            ;03                   ;4E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_03_4E_5
  100;00            ;03                   ;5E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_03_5E_5
  100;00            ;03                   ;6E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_03_6E_5
  100;00            ;03                   ;7E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_03_7E_5
  100;00            ;03                   ;8E                   ;Z-RES;E;5       ;0000   ;51       ;5150      ;             ;00_03_8E_5
