FL,Description,AM Section,AM Part,AM Component,Element Type,Tech.Obj.SAP CODE,Catalog Profile,Source_File,FL_Lunghezza,FL_RE,Check,Check_RE
kkS,IsoCode Country + Technology (S),,,,,,,Solar_FL_SubStation_Guideline.csv,1,[A-Z][A-Z]S,,
kkS-yyyy,Plant code ,,,,,,,Solar_FL_SubStation_Guideline.csv,2,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z],,
kkS-yyyy-0A,Common Energy Collecting & Delivery System,,,,,,,Solar_FL_SubStation_Guideline.csv,3,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A,,
kkS-yyyy-0A-xT,HV/MV Common Transformer,0000,18,1850,,FL_TR_SS,FL00000S,Solar_FL_SubStation_Guideline.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T,xT_0A_4,[1-9A-Z]T_0A_4
kkS-yyyy-0A-xT-HV,HV Section,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-HV,HV_xT_0A_5,HV_[1-9A-Z]T_0A_5
kkS-yyyy-0A-xT-HV-IT,HV Breaker/Circuit Breaker/HGIS,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-HV-IT,IT_HV_xT_6,IT_HV_[1-9A-Z]T_6
kkS-yyyy-0A-xT-HV-Rn,HV/MV Protective Relays,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-HV-R[0-9],Rn_HV_xT_6,R[0-9]_HV_[1-9A-Z]T_6
kkS-yyyy-0A-xT-HV-Sn,HV Surge Arrester,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-HV-S[0-9],Sn_HV_xT_6,S[0-9]_HV_[1-9A-Z]T_6
kkS-yyyy-0A-xT-HV-Dn,HV Disconnector,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-HV-D[0-9],Dn_HV_xT_6,D[0-9]_HV_[1-9A-Z]T_6
kkS-yyyy-0A-xT-HV-An,HV M&P Transformers CT,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-HV-A[0-9],An_HV_xT_6,A[0-9]_HV_[1-9A-Z]T_6
kkS-yyyy-0A-xT-HV-Vn,HV M&P Transformers VT,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-HV-V[0-9],Vn_HV_xT_6,V[0-9]_HV_[1-9A-Z]T_6
kkS-yyyy-0A-xT-HV-BS,HV Connection,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-HV-BS,BS_HV_xT_6,BS_HV_[1-9A-Z]T_6
