FL,Livello_1,Livello_2,Livello_3,Livello_4,Livello_5,Livello_6,FL_Lunghezza,Check,Categoria,Check_Result
ESH-AIGU-D1-351-18,ESH,AIGU,D1,351,18,,5,18_351_D1_5,Others,True
ESH-AIGU-D1-352-16,ESH,AIGU,D1,352,16,,5,16_352_D1_5,Others,True
ESH-AIGU-D1-354-18,ESH,AIGU,D1,354,18,,5,18_354_D1_5,Others,True
ESH-AIGU-D1-355-16,ESH,AIGU,D1,355,16,,5,16_355_D1_5,Others,True
ESH-ARTI-D1-354-10,ESH,ARTI,D1,354,10,,5,10_354_D1_5,Others,True
ESH-ARTI-D1-355-10,ESH,ARTI,D1,355,10,,5,10_355_D1_5,Others,True
ESH-ARTI-D1-356-10,ESH,ARTI,D1,356,10,,5,10_356_D1_5,Others,True
ESH-ARTI-D1-357-10,ESH,ARTI,D1,357,10,,5,10_357_D1_5,Others,True
ESH-ARTI-D1-359-10,ESH,ARTI,D1,359,10,,5,10_359_D1_5,Others,True
ESH-ARTI-D1-35A-10,ESH,ARTI,D1,35A,10,,5,10_35A_D1_5,Others,True
ESH-ARTI-D1-35B-16,ESH,ARTI,D1,35B,16,,5,16_35B_D1_5,Others,True
ESH-ARTI-D1-35C-10,ESH,ARTI,D1,35C,10,,5,10_35C_D1_5,Others,True
ESH-ARTI-D1-371-13,ESH,ARTI,D1,371,13,,5,13_371_D1_5,Others,True
ESH-BALA-D1-371-13,ESH,BALA,D1,371,13,,5,13_371_D1_5,Others,True
ESH-BALI-D1-371-13,ESH,BALI,D1,371,13,,5,13_371_D1_5,Others,True
ESH-BENO-D1-371-13,ESH,BENO,D1,371,13,,5,13_371_D1_5,Others,True
ESH-BIEL-D1-371-13,ESH,BIEL,D1,371,13,,5,13_371_D1_5,Others,True
ESH-BONO-D1-371-13,ESH,BONO,D1,371,13,,5,13_371_D1_5,Others,True
ESH-BOSS-D1-371-13,ESH,BOSS,D1,371,13,,5,13_371_D1_5,Others,True
ESH-CAPD-D1-351-16,ESH,CAPD,D1,351,16,,5,16_351_D1_5,Others,True
ESH-CAPD-D1-352-10,ESH,CAPD,D1,352,10,,5,10_352_D1_5,Others,True
ESH-CAPD-D1-352-14,ESH,CAPD,D1,352,14,,5,14_352_D1_5,Others,True
ESH-CAPD-D1-353-10,ESH,CAPD,D1,353,10,,5,10_353_D1_5,Others,True
ESH-CAPD-D1-353-13,ESH,CAPD,D1,353,13,,5,13_353_D1_5,Others,True
ESH-CAPD-D1-354-10,ESH,CAPD,D1,354,10,,5,10_354_D1_5,Others,True
ESH-CAPD-D1-354-14,ESH,CAPD,D1,354,14,,5,14_354_D1_5,Others,True
ESH-CAPD-D1-354-16,ESH,CAPD,D1,354,16,,5,16_354_D1_5,Others,True
ESH-CAPD-D1-355-10,ESH,CAPD,D1,355,10,,5,10_355_D1_5,Others,True
ESH-CAPD-D1-355-14,ESH,CAPD,D1,355,14,,5,14_355_D1_5,Others,True
ESH-CAPD-D1-356-10,ESH,CAPD,D1,356,10,,5,10_356_D1_5,Others,True
ESH-CAPD-D1-356-14,ESH,CAPD,D1,356,14,,5,14_356_D1_5,Others,True
ESH-CAPD-D1-356-16,ESH,CAPD,D1,356,16,,5,16_356_D1_5,Others,True
ESH-CAPD-D1-357-15,ESH,CAPD,D1,357,15,,5,15_357_D1_5,Others,True
ESH-CAPD-D1-358-15,ESH,CAPD,D1,358,15,,5,15_358_D1_5,Others,True
ESH-CAPD-D1-359-10,ESH,CAPD,D1,359,10,,5,10_359_D1_5,Others,True
ESH-CAPD-D1-359-14,ESH,CAPD,D1,359,14,,5,14_359_D1_5,Others,True
ESH-CAPD-D1-359-16,ESH,CAPD,D1,359,16,,5,16_359_D1_5,Others,True
ESH-CAPD-D1-35A-10,ESH,CAPD,D1,35A,10,,5,10_35A_D1_5,Others,True
ESH-CAPD-D1-35A-14,ESH,CAPD,D1,35A,14,,5,14_35A_D1_5,Others,True
ESH-CAPD-D1-35A-16,ESH,CAPD,D1,35A,16,,5,16_35A_D1_5,Others,True
ESH-CAPD-D1-35B-10,ESH,CAPD,D1,35B,10,,5,10_35B_D1_5,Others,True
ESH-CAPD-D1-35B-14,ESH,CAPD,D1,35B,14,,5,14_35B_D1_5,Others,True
ESH-CAPD-D1-372-13,ESH,CAPD,D1,372,13,,5,13_372_D1_5,Others,True
ESH-ESPO-D1-352-10,ESH,ESPO,D1,352,10,,5,10_352_D1_5,Others,True
ESH-ESPO-D1-352-14,ESH,ESPO,D1,352,14,,5,14_352_D1_5,Others,True
ESH-FLIX-D1-351-16,ESH,FLIX,D1,351,16,,5,16_351_D1_5,Others,True
ESH-FLIX-PG-131,ESH,FLIX,PG,131,,,4,131_PG_4,Others,True
ESH-FLIX-PG-131-10,ESH,FLIX,PG,131,10,,5,10_131_PG_5,Others,True
